,MD,Hook_load,WOB,RPM,Torque,Intake_pressure,ROP
89,2909.77,66.68,9.32,69.82,1.98,129.66,25.53
90,2909.84,66.91,9.09,69.73,1.8,128.97,25.53
91,2909.84,67.26,8.74,69.73,2.3,128.98,25.53
92,2909.84,67.97,8.03,69.73,2.16,128.37,25.53
93,2909.9,68.04,7.96,69.73,2.15,127.49,25.53
94,2909.9,68.14,7.86,69.73,2.26,126.7,25.53
95,2909.96,68.22,7.78,69.82,2.17,126.66,25.53
96,2910.03,67.51,8.49,70.0,1.72,127.33,15.45
97,2910.03,67.45,8.55,70.09,1.86,128.11,15.45
98,2910.09,66.59,9.41,70.0,1.73,128.55,15.45
99,2910.09,66.7,9.3,70.09,1.63,129.64,15.45
100,2910.15,66.94,9.06,70.09,1.54,129.46,15.45
101,2910.22,66.58,9.43,70.09,1.61,128.89,15.45
102,2910.22,65.93,10.07,70.09,1.84,129.26,15.45
103,2910.28,65.48,10.52,70.0,1.58,129.88,15.45
104,2910.34,65.22,10.78,69.91,1.57,130.08,15.45
105,2910.34,65.66,10.34,69.82,1.77,129.59,15.45
106,2910.34,65.97,10.03,69.91,1.76,128.94,15.45
107,2910.41,66.12,9.88,69.73,1.89,129.18,15.45
108,2910.41,66.37,9.63,69.82,1.88,129.62,15.45
109,2910.41,66.69,9.31,69.64,2.21,129.91,15.45
110,2910.41,67.09,8.91,69.64,2.33,129.42,15.45
111,2910.47,67.9,8.1,69.55,2.24,128.5,15.45
112,2910.53,67.97,8.03,69.64,2.12,127.44,15.45
113,2910.6,67.26,8.74,69.55,2.3,127.24,15.45
114,2910.6,66.85,9.15,69.73,2.17,128.43,15.45
115,2910.66,66.47,9.53,69.91,2.04,129.43,15.45
116,2910.72,66.3,9.7,69.82,2.02,130.1,15.45
117,2910.72,66.29,9.71,69.82,2.09,130.07,15.45
118,2910.72,66.38,9.62,69.91,1.79,129.59,15.45
119,2910.79,66.63,9.37,69.91,1.74,128.6,15.45
120,2910.85,66.35,9.65,69.82,1.96,128.52,15.45
121,2910.85,66.11,9.89,69.82,1.96,129.49,15.45
122,2910.91,66.51,9.49,69.91,1.7,129.94,15.45
123,2910.91,67.13,8.87,69.82,1.76,129.44,15.45
124,2910.91,67.46,8.54,69.64,1.97,128.46,15.45
125,2910.98,67.49,8.51,69.73,1.92,127.67,15.45
126,2910.98,67.05,8.95,69.73,2.14,127.55,15.45
127,2910.98,67.47,8.53,69.73,1.81,127.52,15.45
128,2911.04,68.18,7.82,69.64,2.25,126.91,22.52
129,2911.1,68.27,7.73,69.64,2.22,126.15,22.52
130,2911.1,67.83,8.17,69.73,2.1,126.33,22.52
131,2911.1,67.65,8.35,69.82,2.11,127.24,22.52
132,2911.17,67.61,8.39,69.82,1.92,127.2,22.52
133,2911.29,66.65,9.35,69.82,1.93,127.29,22.52
134,2911.29,66.37,9.63,69.82,2.25,128.63,22.52
135,2911.29,66.89,9.11,69.91,1.92,129.19,22.52
136,2911.29,67.42,8.59,69.91,2.2,128.81,22.52
137,2911.42,67.04,8.96,69.82,2.11,128.47,22.52
138,2911.42,66.73,9.27,69.82,1.98,128.88,22.52
